product,definition
ls5_c2l2_sr;ls7_c2l2_sr;ls8_c2l2_sr;ls9_c2l2_sr,https://raw.githubusercontent.com/opendatacube/datacube-dataset-config/main/products/lsX_c2l2_sr.odc-product.yaml
sentinel_2_c1_l2a,https://raw.githubusercontent.com/digitalearthpacific/pacific-cube-in-a-box/main/products/sentinel_2_c1_l2a.odc-product.yaml
dep_s1_geomad,https://raw.githubusercontent.com/digitalearthpacific/pacific-cube-in-a-box/main/products/dep_s1_geomad.odc-product.yaml
dep_s2_geomad,https://raw.githubusercontent.com/digitalearthpacific/pacific-cube-in-a-box/main/products/dep_s2_geomad.odc-product.yaml
dep_s2s1_mrd,https://raw.githubusercontent.com/digitalearthpacific/pacific-cube-in-a-box/main/products/dep_s2s1_mrd.odc-product.yaml
dep_ls_wofl,https://raw.githubusercontent.com/digitalearthpacific/pacific-cube-in-a-box/main/products/dep_ls_wofl.odc-product.yaml
dep_ls_wofs_summary_annual,https://raw.githubusercontent.com/digitalearthpacific/pacific-cube-in-a-box/main/products/dep_ls_wofs_summary_annual.odc-product.yaml
dep_ls_wofs_summary_alltime,https://raw.githubusercontent.com/digitalearthpacific/pacific-cube-in-a-box/main/products/dep_ls_wofs_summary_alltime.odc-product.yaml
dep_s2_mangroves,https://raw.githubusercontent.com/digitalearthpacific/pacific-cube-in-a-box/main/products/dep_s2_mangroves.odc-product.yaml
dep_s2_sdb,https://raw.githubusercontent.com/digitalearthpacific/pacific-cube-in-a-box/main/products/dep_s2_sdbv2.odc-product.yaml
dep_s2ls_intertidal,https://raw.githubusercontent.com/digitalearthpacific/pacific-cube-in-a-box/main/products/dep_s2ls_intertidal.odc-product.yaml
